          Q2           xp         beta           mx   iData         Data      ErrData       Theory ErrTheoFunc(ASAbsAvTot)       ErrTot        Ratio 
          25         0.03        0.027      30.0154     124      0.03755    0.0055664     0.112397                       0    0.0055664     0.334085 
          25         0.03        0.043       23.588     125      0.02978   0.00430895     0.100278                       0   0.00430895     0.296975 
          25         0.03        0.067      18.6584     126      0.02655   0.00418405    0.0891028                       0   0.00418405      0.29797 
          25         0.03         0.11      14.2223     127      0.02491    0.0037591    0.0786686                       0    0.0037591     0.316645 
          25         0.03         0.17       11.048     128      0.02562     0.003895    0.0669741                       0     0.003895     0.382536 
          35         0.03        0.017      44.9869     129      0.05337    0.0108338     0.131509                       0    0.0108338     0.405827 
          35         0.03        0.027      35.5147     130      0.04213   0.00639252     0.124054                       0   0.00639252     0.339609 
          35         0.03        0.043      27.9097     131      0.04063   0.00618738     0.111167                       0   0.00618738     0.365486 
          35         0.03        0.067      22.0769     132      0.03063   0.00470467    0.0983289                       0   0.00470467     0.311506 
          35         0.03         0.11       16.828     133      0.02992   0.00459825    0.0861886                       0   0.00459825     0.347146 
          35         0.03         0.17      13.0722     134      0.02493   0.00390741     0.072788                       0   0.00390741     0.342501 
          35         0.03         0.27      9.72778     135       0.0284   0.00442138    0.0565469                       0   0.00442138     0.502238 
          45         0.03        0.027      40.2699     136      0.05064   0.00916318     0.130637                       0   0.00916318     0.387638 
          45         0.03        0.043      31.6467     137      0.04048   0.00628966     0.118624                       0   0.00628966     0.341245 
          45         0.03        0.067      25.0328     138      0.03804   0.00646311     0.104889                       0   0.00646311      0.36267 
          45         0.03         0.11      19.0812     139      0.02427    0.0039952    0.0915311                       0    0.0039952     0.265156 
          45         0.03         0.17      14.8225     140      0.02521   0.00413698     0.076885                       0   0.00413698     0.327892 
          45         0.03         0.27      11.0303     141      0.02092   0.00342916    0.0594263                       0   0.00342916     0.352032 
          60         0.03        0.043      36.5424     142        0.039   0.00742097     0.125678                       0   0.00742097     0.310317 
          60         0.03        0.067      28.9054     143      0.03913   0.00632334     0.111771                       0   0.00632334     0.350092 
          60         0.03         0.11       22.033     144      0.02613   0.00422006    0.0973264                       0   0.00422006     0.268478 
          60         0.03         0.17      17.1155     145      0.02548    0.0043259     0.081317                       0    0.0043259     0.313341 
          60         0.03         0.27      12.7366     146      0.02165   0.00443614    0.0625114                       0   0.00443614     0.346337 
          60         0.03         0.43      8.91823     147      0.02698   0.00474403    0.0406559                       0   0.00474403     0.663619 
          90         0.03        0.067      35.4017     148      0.03286    0.0130657     0.119726                       0    0.0130657      0.27446 
          90         0.03         0.11      26.9848     149      0.03379   0.00657396     0.104654                       0   0.00657396     0.322873 
          90         0.03         0.17      20.9622     150      0.03622   0.00621656    0.0869883                       0   0.00621656     0.416378 
          90         0.03         0.27      15.5991     151      0.02668    0.0044977    0.0664124                       0    0.0044977     0.401732 
          90         0.03         0.43      10.9226     152      0.03214    0.0056432    0.0430096                       0    0.0056432     0.747275 
          90         0.03         0.67      6.65795     153      0.02818   0.00735714    0.0194149                       0   0.00735714      1.45147 
         200         0.03         0.11      40.2266     154       0.0361   0.00587732     0.113011                       0   0.00587732     0.319437 
         200         0.03         0.17      31.2485     155       0.0331   0.00525217     0.095525                       0   0.00525217     0.346506 
         200         0.03         0.27      23.2538     156       0.0283   0.00434421    0.0725598                       0   0.00434421     0.390023 
         200         0.03         0.43      16.2824     157       0.0309   0.00474765    0.0465448                       0   0.00474765     0.663877 
         200         0.03         0.67      9.92509     158       0.0297   0.00505179    0.0205644                       0   0.00505179      1.44424 
         400         0.03         0.27      32.8859     159       0.0322   0.00552584    0.0753565                       0   0.00552584     0.427302 
         400         0.03         0.43      23.0268     160       0.0293   0.00466459    0.0484418                       0   0.00466459     0.604849 
         400         0.03         0.67      14.0362     161       0.0289   0.00502204    0.0208919                       0   0.00502204      1.38331 
         800         0.03         0.43      32.5648     162       0.0391   0.00797918    0.0487621                       0   0.00797918     0.801851 
         800         0.03         0.67      19.8502     163       0.0228   0.00502273    0.0208495                       0   0.00502273      1.09355 
        1600         0.03         0.67      28.0724     164       0.0214   0.00702497    0.0205123                       0   0.00702497      1.04328 
